DISTRICT,latitude,long,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ARSON
EAST,28.628,77.2956,2001,56,51,24,163,4,47,56,1
GRP(RLY),28.6448,77.216721,2001,11,4,1,7,1,11,4,4
IGI AIRPORT,28.5562,77.1,2001,2,2,0,4,0,2,0,0
NEW DELHI,28.6139,77.209,2001,11,14,9,27,1,22,20,1
NORTH,28.7886,77.1412,2001,28,33,28,99,2,52,26,3
NORTH EAST,28.7184,77.258,2001,62,79,36,157,3,74,34,3
NORTH WEST,28.7186,77.0685,2001,134,107,103,518,14,122,102,3
SOUTH,28.4817,77.1873,2001,83,75,65,265,9,120,96,14
SOUTH WEST,28.5929,77.0346,2001,61,52,42,174,9,74,69,10
CENTRAL,28.6643,77.2167,2002,23,38,22,71,1,39,41,8
EAST,28.628,77.2956,2002,50,35,10,141,7,37,55,3
GRP(RLY),28.6448,77.216721,2002,2,4,0,3,1,12,3,1
IGI AIRPORT,28.5562,77.1,2002,4,0,0,1,0,2,2,6
NEW DELHI,28.6139,77.209,2002,6,8,8,20,0,20,11,0
NORTH,28.7886,77.1412,2002,40,22,27,84,7,43,31,0
NORTH EAST,28.7184,77.258,2002,66,65,39,156,2,65,27,2
NORTH WEST,28.7186,77.0685,2002,135,90,120,430,20,112,101,8
SOUTH,28.4817,77.1873,2002,80,60,65,163,4,74,76,3
SOUTH WEST,28.5929,77.0346,2002,52,45,68,126,4,48,62,12
hazrat nizamuddin railway station,28.5889,77.2534,2002,30,1,7,30,0,0,80,10
WEST,28.6663,77.068,2002,73,72,44,128,1,50,37,8
CENTRAL,28.6643,77.2167,2003,29,20,20,63,2,14,29,0
EAST,28.628,77.2956,2003,44,38,37,158,4,39,73,7
GRP(RLY),28.6448,77.216721,2003,8,4,0,6,0,14,4,4
IGI AIRPORT,28.5562,77.1,2003,2,2,0,2,0,4,5,3
NEW DELHI,28.6139,77.209,2003,7,5,8,24,1,16,20,4
NORTH,28.7886,77.1412,2003,32,23,34,63,1,35,16,0
NORTH EAST,28.7184,77.258,2003,54,64,53,182,4,56,41,3
NORTH WEST,28.7186,77.0685,2003,106,101,128,301,6,93,102,9
SOUTH,28.4817,77.1873,2003,86,52,83,134,4,57,89,0
SOUTH WEST,28.5929,77.0346,2003,45,45,57,118,3,60,52,10
WEST,28.6663,77.068,2003,72,51,70,105,3,53,58,8
CENTRAL,28.6643,77.2167,2004,16,17,27,57,1,18,44,12
EAST,28.628,77.2956,2004,52,39,62,172,6,52,82,7
GRP(RLY),28.6448,77.216721,2004,6,6,5,5,1,6,2,3
IGI AIRPORT,28.5562,77.1,2004,1,3,1,5,0,6,7,5
NEW DELHI,28.6139,77.209,2004,6,15,8,20,0,9,34,3
NORTH,28.7886,77.1412,2004,25,23,23,85,5,30,21,0
NORTH EAST,28.7184,77.258,2004,54,69,67,157,4,65,46,1
NORTH WEST,28.7186,77.0685,2004,129,137,124,285,4,120,129,9
SOUTH,28.4817,77.1873,2004,80,74,96,216,5,54,130,1
SOUTH WEST,28.5929,77.0346,2004,44,49,79,97,3,51,59,4
WEST,28.6663,77.068,2004,67,72,58,110,1,50,46,2
CENTRAL,28.6643,77.2167,2005,23,28,20,52,1,20,40,5
EAST,28.628,77.2956,2005,31,38,59,153,1,58,105,5
GRP(RLY),28.6448,77.216721,2005,16,4,2,4,0,6,5,5
IGI AIRPORT,28.5562,77.1,2005,1,0,1,4,0,2,1,1
NEW DELHI,28.6139,77.209,2005,10,11,6,19,0,13,26,2
NORTH,28.7886,77.1412,2005,24,23,22,78,3,34,45,0
NORTH EAST,28.7184,77.258,2005,51,63,106,212,4,60,79,1
NORTH WEST,28.7186,77.0685,2005,128,121,190,572,9,124,138,3
SOUTH,28.4817,77.1873,2005,67,63,87,231,4,93,151,4
SOUTH WEST,28.5929,77.0346,2005,47,51,71,114,2,51,86,6
hazrat nizamuddin railway station,28.5889,77.2534,2005,67,10,28,50,0,0,40,4
WEST,28.6663,77.068,2005,57,55,94,151,3,49,86,11
CENTRAL,28.6643,77.2167,2006,22,32,17,73,0,22,21,0
EAST,28.628,77.2956,2006,39,42,61,118,3,66,86,10
GRP(RLY),28.6448,77.216721,2006,5,2,1,11,0,3,0,0
IGI AIRPORT,28.5562,77.1,2006,2,1,0,8,0,8,2,8
NEW DELHI,28.6139,77.209,2006,7,8,6,26,0,20,31,1
NORTH,28.7886,77.1412,2006,28,21,22,41,0,29,27,0
NORTH EAST,28.7184,77.258,2006,61,66,93,197,3,82,92,1
NORTH WEST,28.7186,77.0685,2006,128,151,169,437,4,105,137,3
SOUTH,28.4817,77.1873,2006,66,69,87,215,2,117,141,2
SOUTH WEST,28.5929,77.0346,2006,52,45,79,161,0,48,84,4
hazrat nizamuddin railway station,28.5889,77.2534,2006,32,10,67,30,0,2,70,5
WEST,28.6663,77.068,2006,66,63,88,155,2,39,97,7
CENTRAL,28.6643,77.2167,2007,27,29,22,70,1,28,38,0
EAST,28.628,77.2956,2007,34,61,73,145,7,102,112,2
GRP(RLY),28.6448,77.216721,2007,3,0,4,12,0,2,4,1
IGI AIRPORT,28.5562,77.1,2007,1,0,0,3,0,6,8,3
NEW DELHI,28.6139,77.209,2007,4,7,7,12,1,23,23,0
NORTH,28.7886,77.1412,2007,22,41,33,64,5,33,43,0
NORTH EAST,28.7184,77.258,2007,66,74,89,241,2,55,120,3
NORTH WEST,28.7186,77.0685,2007,57,52,51,208,4,63,64,3
OUTER,28.5982,76.9899,2007,102,96,121,360,4,85,100,0
SOUTH,28.4817,77.1873,2007,68,84,83,256,2,75,169,1
SOUTH WEST,28.5929,77.0346,2007,51,43,51,148,7,47,85,4
hazrat nizamuddin railway station,28.5889,77.2534,2007,17,6,45,70,1,0,10,5
WEST,28.6663,77.068,2007,60,37,64,169,0,38,102,8
CAW,28.610001,77.230003,2008,2,2,0,0,0,0,1,1
CENTRAL,28.6643,77.2167,2008,34,33,30,84,0,33,38,2
EAST,28.628,77.2956,2008,49,51,73,191,5,74,93,0
GRP(RLY),28.6448,77.216721,2008,6,0,0,6,1,2,1,0
IGI AIRPORT,28.5562,77.1,2008,1,1,0,1,0,3,2,5
NEW DELHI,28.6139,77.209,2008,9,3,3,19,0,14,18,1
NORTH,28.7886,77.1412,2008,25,18,20,80,2,56,35,0
NORTH EAST,28.7184,77.258,2008,92,50,32,210,0,47,77,2
NORTH WEST,28.7186,77.0685,2008,54,48,59,137,3,85,48,2
OUTER,28.5982,76.9899,2008,77,53,59,355,7,43,48,6
SOUTH,28.4817,77.1873,2008,37,18,37,70,1,42,52,5
SOUTH EAST,28.563,77.2611,2008,66,37,61,182,1,66,82,2
SOUTH WEST,28.5929,77.0346,2008,57,36,38,87,2,37,39,3
hazrat nizamuddin railway station,28.5889,77.2534,2008,16,10,78,94,0,0,50,5
WEST,28.6663,77.068,2008,46,30,54,145,2,39,77,4
CAW,28.610001,77.230003,2009,0,0,0,0,0,0,1,0
CENTRAL,28.6643,77.2167,2009,28,25,28,93,0,33,34,6
EAST,28.628,77.2956,2009,56,50,52,299,9,52,81,0
GRP(RLY),28.6448,77.216721,2009,9,5,4,11,2,10,0,1
IGI AIRPORT,28.5562,77.1,2009,1,0,0,2,1,1,2,8
NEW DELHI,28.6139,77.209,2009,5,3,6,46,2,14,17,0
NORTH,28.7886,77.1412,2009,44,19,19,140,1,24,35,0
NORTH EAST,28.7184,77.258,2009,74,56,47,375,5,53,67,1
NORTH WEST,28.7186,77.0685,2009,56,48,54,218,6,118,39,2
OUTER,28.5982,76.9899,2009,74,44,41,332,3,21,61,3
SOUTH,28.4817,77.1873,2009,42,16,42,133,0,36,45,4
SOUTH EAST,28.563,77.2611,2009,48,29,59,318,1,62,78,8
SOUTH WEST,28.5929,77.0346,2009,65,27,52,241,4,44,53,1
hazrat nizamuddin railway station,28.5889,77.2534,2009,57,4,66,47,0,0,60,1
WEST,28.6663,77.068,2009,49,35,63,328,2,46,38,0
CAW,28.610001,77.230003,2010,3,3,0,0,0,0,0,0
CENTRAL,28.6643,77.2167,2010,25,11,20,126,0,35,25,5
EAST,28.628,77.2956,2010,57,54,47,357,7,81,83,0
GRP(RLY),28.6448,77.216721,2010,12,5,2,23,2,9,3,1
IGI AIRPORT,28.5562,77.1,2010,0,0,0,13,0,0,7,7
NEW DELHI,28.6139,77.209,2010,6,4,16,29,1,19,20,1
NORTH,28.7886,77.1412,2010,30,16,7,161,0,24,23,0
NORTH EAST,28.7184,77.258,2010,68,27,51,458,5,57,68,1
NORTH WEST,28.7186,77.0685,2010,60,49,50,260,8,178,62,7
OUTER,28.5982,76.9899,2010,98,42,49,457,4,39,64,5
SOUTH,28.4817,77.1873,2010,35,21,59,240,4,47,66,5
SOUTH EAST,28.563,77.2611,2010,48,25,80,369,0,32,92,5
SOUTH WEST,28.5929,77.0346,2010,63,20,54,363,1,30,28,4
hazrat nizamuddin railway station,28.5889,77.2534,2010,11,3,55,28,0,0,90,3
WEST,28.6663,77.068,2010,63,29,72,350,0,48,60,2
CAW,28.610001,77.230003,2011,1,1,1,0,0,0,1,0
CENTRAL,28.6643,77.2167,2011,25,15,16,154,0,26,32,11
EAST,28.628,77.2956,2011,54,53,55,393,7,67,78,0
GRP(RLY),28.6448,77.216721,2011,10,3,4,25,3,21,7,0
IGI AIRPORT,28.5562,77.1,2011,1,0,0,3,0,0,8,5
NEW DELHI,28.6139,77.209,2011,6,4,2,33,1,12,17,0
NORTH,28.7886,77.1412,2011,38,19,11,177,1,38,15,0
NORTH EAST,28.7184,77.258,2011,66,43,69,530,5,55,88,0
NORTH WEST,28.7186,77.0685,2011,51,36,58,331,4,89,48,2
OUTER,28.5982,76.9899,2011,84,60,73,577,4,74,65,1
SOUTH,28.4817,77.1873,2011,30,25,65,222,1,31,50,3
SOUTH EAST,28.563,77.2611,2011,61,33,75,478,4,54,127,8
SOUTH WEST,28.5929,77.0346,2011,51,44,69,391,0,52,56,2
OUTER,28.5982,76.9899,2011,1,2,0,0,0,0,0,8
WEST,28.6663,77.068,2011,64,45,73,453,3,43,65,6
CAW,28.610001,77.230003,2012,0,0,0,0,0,0,0,0
